Index,Subject,Points,Grade
2023001,DP,61,7
2023002,APS,91,10
2023003,DP,66,7
2023004,OS,83,9
2023005,SI,50,6
2023006,SI,68,7
2023007,OS,95,10
2023008,APS,52,6
2023009,SI,55,6
2023010,OS,84,9
2023011,OS,92,10
2023012,APS,95,10
2023013,DP,72,8
2023014,SI,85,9
2023015,SI,55,6
2023016,DP,69,7
2023017,OOP,85,9
2023018,OS,73,8
2023019,OS,53,6
2023020,DP,54,6
2023021,SI,65,7
2023022,OOP,90,10
2023023,OOP,81,9
2023024,DP,56,6
2023025,SI,56,6
2023026,OS,78,8
2023027,OOP,60,7
2023028,OS,93,10
2023029,SI,70,8
2023030,SI,71,8
2023031,DP,76,8
2023032,OOP,65,7
2023033,OS,97,10
2023034,DP,74,8
2023035,APS,51,6
2023036,DP,64,7
2023037,OS,51,6
2023038,OS,99,10
2023039,DP,61,7
2023040,OS,72,8
2023041,SI,85,9
2023042,OOP,71,8
2023043,OS,62,7
2023044,DP,83,9
2023045,APS,64,7
2023046,APS,74,8
2023047,OS,83,9
2023048,OOP,79,8
2023049,OS,74,8
2023050,DP,98,10
2023051,APS,60,7
2023052,APS,98,10
2023053,OOP,96,10
2023054,OS,76,8
2023055,SI,53,6
2023056,APS,95,10
2023057,OOP,70,8
2023058,OS,76,8
2023059,OOP,96,10
2023060,OOP,79,8
2023061,OOP,60,7
2023062,OOP,98,10
2023063,SI,51,6
2023064,DP,57,6
2023065,APS,86,9
2023066,SI,59,6
2023067,SI,50,6
2023068,OOP,51,6
2023069,OOP,99,10
2023070,OOP,51,6
2023071,OOP,52,6
2023072,OS,72,8
2023073,OS,93,10
2023074,OOP,69,7
2023075,SI,72,8
2023076,OS,56,6
2023077,SI,87,9
2023078,OS,74,8
2023079,DP,62,7
2023080,OOP,64,7
2023081,SI,73,8
2023082,OOP,61,7
2023083,OOP,92,10
2023084,OS,98,10
2023085,SI,55,6
2023086,DP,60,7
2023087,OOP,50,6
2023088,OS,97,10
2023089,DP,67,7
2023090,OS,81,9
2023091,OS,68,7
2023092,APS,59,6
2023093,SI,92,10
2023094,OOP,59,6
2023095,OS,87,9
2023096,SI,93,10
2023097,OS,100,10
2023098,SI,89,9
2023099,OOP,55,6
2023100,APS,85,9
