household,city,kWh,month
1,Skopje,150,January
2,Bitola,200,January
3,Ohrid,120,January
4,Struga,180,January
5,Kicevo,220,January
6,Debar,250,January
7,Kavadarci,180,January
8,Skopje,190,February
9,Bitola,160,February
10,Ohrid,170,February
11,Struga,150,February
12,Kicevo,210,February
13,Debar,230,February
14,Kavadarci,200,February
15,Skopje,250,March
16,Bitola,180,March
17,Ohrid,200,March
18,Struga,220,March
19,Kicevo,210,March
20,Debar,240,March
21,Kavadarci,230,March
22,Skopje,220,April
23,Bitola,250,April
24,Ohrid,180,April
25,Struga,190,April
26,Kicevo,230,April
27,Debar,200,April
28,Kavadarci,210,April
29,Skopje,210,May
30,Bitola,180,May
31,Ohrid,220,May
32,Struga,230,May
33,Kicevo,240,May
34,Debar,210,May
35,Kavadarci,250,May
36,Skopje,230,June
37,Bitola,220,June
38,Ohrid,210,June
39,Struga,200,June
40,Kicevo,180,June
41,Debar,160,June
42,Kavadarci,170,June
43,Skopje,250,July
44,Bitola,240,July
45,Ohrid,230,July
46,Struga,200,July
47,Kicevo,210,July
48,Debar,220,July
49,Kavadarci,240,July
50,Skopje,200,August
51,Bitola,180,August
52,Ohrid,160,August
53,Struga,150,August
54,Kicevo,170,August
55,Debar,190,August
56,Kavadarci,180,August
57,Skopje,220,September
58,Bitola,210,September
59,Ohrid,240,September
60,Struga,230,September
61,Kicevo,250,September
62,Debar,220,September
63,Kavadarci,210,September
64,Skopje,180,October
65,Bitola,160,October
66,Ohrid,170,October
67,Struga,180,October
68,Kicevo,200,October
69,Debar,210,October
70,Kavadarci,190,October
71,Skopje,230,November
72,Bitola,240,November
73,Ohrid,250,November
74,Struga,220,November
75,Kicevo,210,November
76,Debar,200,November
77,Kavadarci,230,November
78,Skopje,240,December
79,Bitola,220,December
80,Ohrid,210,December
81,Struga,200,December
82,Kicevo,180,December
83,Debar,160,December
84,Kavadarci,170,December
85,Skopje,180,January
86,Bitola,210,January
87,Ohrid,220,January
88,Struga,190,January
89,Kicevo,200,January
90,Debar,210,January
91,Kavadarci,220,January
92,Skopje,210,February
93,Bitola,230,February
94,Ohrid,240,February
95,Struga,220,February
96,Kicevo,180,February
97,Debar,170,February
98,Kavadarci,200,February
99,Skopje,250,March
100,Bitola,240,March

